# URI 2026 Dual Actuator TVC Experiment
# Mode: Circle
# Controller: PID
# Circle: tilt 10.0 deg, W1=0.2 rad/s
# Geometry[in]: H1=13.28 H2=9.51 R=6.2 ELL=0.6 measured=True
# TiltLimit: 45.0 deg   Ts: 0.002s   Duration: 60s
# t	e1	e2	x1	x2	xd1	xd2	u1	u2	phi	theta	tilt	dt
0.1340	21.45	2.08	0.0	0.0	-4792.2	-465.2	-0.1766	-0.0152	0.00000	0.00000	0.000	0.002000
0.1360	22.09	2.15	0.0	0.0	-4792.2	-466.9	-0.1845	-0.0199	0.00000	0.00000	0.000	0.002000
0.1380	22.74	2.22	0.0	0.0	-4792.1	-468.7	-0.1834	-0.0249	0.00000	0.00000	0.000	0.002000
0.1400	23.40	2.30	0.0	0.0	-4792.1	-470.5	-0.1820	-0.0209	0.00000	0.00000	0.000	0.002000
0.1420	24.08	2.37	0.0	0.0	-4792.0	-472.2	-0.1898	-0.0166	0.00000	0.00000	0.000	0.002000
0.1440	24.76	2.45	0.0	0.0	-4792.0	-474.0	-0.1978	-0.0214	0.00000	0.00000	0.000	0.002000
0.1460	25.45	2.53	0.0	0.0	-4791.9	-475.8	-0.2059	-0.0264	0.00000	0.00000	0.000	0.002000
0.1480	26.14	2.61	0.0	0.0	-4791.9	-477.5	-0.2050	-0.0224	0.00000	0.00000	0.000	0.002000
0.1500	26.85	2.69	0.0	0.0	-4791.8	-479.3	-0.2040	-0.0182	0.00000	0.00000	0.000	0.002000
0.1520	27.57	2.77	0.0	0.0	-4791.8	-481.0	-0.2120	-0.0230	0.00000	0.00000	0.000	0.002000
0.1540	28.30	2.85	0.0	0.0	-4791.7	-482.8	-0.2202	-0.0280	0.00000	0.00000	0.000	0.002000
0.1560	29.03	2.94	0.0	0.0	-4791.7	-484.6	-0.2285	-0.0241	0.00000	0.00000	0.000	0.002000
0.1580	29.77	3.02	-1.0	0.0	-4791.6	-486.3	-0.2279	-0.0199	0.00000	0.00004	0.002	0.002000
0.1600	30.53	3.11	-1.0	0.0	-4791.6	-488.1	-0.2270	-0.0247	0.00000	0.00004	0.002	0.002000
0.1620	31.29	3.20	-1.0	0.0	-4791.5	-489.9	-0.2353	-0.0298	0.00000	0.00004	0.002	0.002000
0.1640	32.07	3.29	-1.0	0.0	-4791.5	-491.6	-0.2437	-0.0258	0.00000	0.00004	0.002	0.002000
0.1660	32.85	3.38	-1.0	0.0	-4791.4	-493.4	-0.2523	-0.0217	0.00000	0.00004	0.002	0.002000
0.1680	33.64	3.48	-1.0	0.0	-4791.3	-495.1	-0.2519	-0.0266	0.00000	0.00004	0.002	0.002000
0.1700	34.44	3.57	-2.0	0.0	-4791.3	-496.9	-0.2512	-0.0317	0.00000	0.00008	0.004	0.002000
0.1720	35.25	3.67	-2.0	0.0	-4791.2	-498.7	-0.2597	-0.0278	0.00000	0.00008	0.004	0.002000
0.1740	36.07	3.77	-2.0	0.0	-4791.2	-500.4	-0.2684	-0.0236	0.00000	0.00008	0.004	0.002000
0.1760	36.90	3.87	-2.0	0.0	-4791.1	-502.2	-0.2772	-0.0285	0.00000	0.00008	0.004	0.002000
0.1780	37.73	3.97	-3.0	0.0	-4791.0	-504.0	-0.2770	-0.0336	0.00000	0.00012	0.007	0.002000
0.1800	38.57	4.07	-3.0	0.0	-4791.0	-505.7	-0.2766	-0.0298	0.00000	0.00012	0.007	0.002000
0.1820	39.43	4.18	-3.0	0.0	-4790.9	-507.5	-0.2853	-0.0257	0.00000	0.00012	0.007	0.002000
0.1840	40.30	4.29	-3.0	0.0	-4790.8	-509.2	-0.2943	-0.0306	0.00000	0.00012	0.007	0.002000
0.1860	41.16	4.39	-4.0	0.0	-4790.8	-511.0	-0.3033	-0.0358	0.00000	0.00016	0.009	0.002000
0.1880	42.05	4.50	-4.0	0.0	-4790.7	-512.8	-0.3033	-0.0409	0.00000	0.00016	0.009	0.002000
0.1900	42.94	4.62	-4.0	0.0	-4790.6	-514.5	-0.3032	-0.0371	0.00000	0.00016	0.009	0.002000
0.1920	43.83	4.73	-5.0	0.0	-4790.6	-516.3	-0.3121	-0.0331	0.00000	0.00020	0.011	0.002000
0.1940	44.75	4.84	-5.0	0.0	-4790.5	-518.0	-0.3212	-0.0380	0.00000	0.00020	0.011	0.002000
0.1960	45.67	4.96	-5.0	0.0	-4790.4	-519.8	-0.3305	-0.0432	0.00000	0.00020	0.011	0.002000
0.1980	46.59	5.08	-6.0	0.0	-4790.4	-521.6	-0.3307	-0.0394	0.00000	0.00024	0.013	0.002000
0.2000	47.53	5.20	-6.0	0.0	-4790.3	-523.3	-0.3308	-0.0354	0.00000	0.00024	0.013	0.002000
0.2020	48.47	5.32	-6.0	0.0	-4790.2	-525.1	-0.3400	-0.0404	0.00000	0.00024	0.013	0.002000
0.2040	49.42	5.44	-7.0	0.0	-4790.2	-526.9	-0.3493	-0.0457	0.00000	0.00027	0.016	0.002000
0.2060	50.39	5.57	-7.0	0.0	-4790.1	-528.6	-0.3588	-0.0419	0.00000	0.00027	0.016	0.002000
0.2080	51.35	5.70	-8.0	0.0	-4790.0	-530.4	-0.3593	-0.0379	0.00000	0.00031	0.018	0.002000
0.2100	52.34	5.82	-8.0	0.0	-4789.9	-532.1	-0.3596	-0.0430	0.00000	0.00031	0.018	0.002000
0.2120	53.33	5.95	-8.0	0.0	-4789.9	-533.9	-0.3690	-0.0482	0.00000	0.00031	0.018	0.002000
0.2140	54.32	6.09	-9.0	0.0	-4789.8	-535.7	-0.3785	-0.0445	0.00000	0.00035	0.020	0.002000
0.2160	55.32	6.22	-10.0	0.0	-4789.7	-537.4	-0.3882	-0.0405	0.00000	0.00039	0.022	0.002000
0.2180	56.34	6.36	-10.0	0.0	-4789.6	-539.2	-0.3889	-0.0456	0.00000	0.00039	0.022	0.002000
0.2200	57.36	6.49	-11.0	0.0	-4789.6	-540.9	-0.3894	-0.0509	0.00000	0.00043	0.025	0.002000
0.2220	58.40	6.63	-11.0	0.0	-4789.5	-542.7	-0.3990	-0.0472	0.00000	0.00043	0.025	0.002000
0.2240	59.43	6.77	-12.0	0.0	-4789.4	-544.5	-0.4088	-0.0433	0.00000	0.00047	0.027	0.002000
0.2260	60.49	6.92	-12.0	0.0	-4789.3	-546.2	-0.4188	-0.0484	0.00000	0.00047	0.027	0.002000
0.2280	61.54	7.06	-13.0	0.0	-4789.3	-548.0	-0.4197	-0.0538	0.00000	0.00051	0.029	0.002000
0.2300	62.61	7.21	-13.0	0.0	-4789.2	-549.8	-0.4205	-0.0501	0.00000	0.00051	0.029	0.002000
0.2320	63.68	7.36	-14.0	0.0	-4789.1	-551.5	-0.4302	-0.0462	0.00000	0.00055	0.031	0.002000
0.2340	64.76	7.51	-15.0	0.0	-4789.0	-553.3	-0.4402	-0.0514	0.00000	0.00059	0.034	0.002000
0.2360	65.86	7.66	-15.0	0.0	-4788.9	-555.0	-0.4504	-0.0568	0.00000	0.00059	0.034	0.002000
0.2380	66.96	7.81	-16.0	0.0	-4788.9	-556.8	-0.4515	-0.0621	0.00000	0.00063	0.036	0.002000
0.2400	68.07	7.97	-16.0	0.0	-4788.8	-558.6	-0.4525	-0.0586	0.00000	0.00063	0.036	0.002000
0.2420	69.19	8.12	-17.0	0.0	-4788.7	-560.3	-0.4625	-0.0547	0.00000	0.00067	0.038	0.002000
0.2440	70.31	8.28	-18.0	0.0	-4788.6	-562.1	-0.4727	-0.0599	0.00000	0.00071	0.040	0.002000
0.2460	71.45	8.45	-18.0	0.0	-4788.5	-563.8	-0.4831	-0.0654	0.00000	0.00071	0.040	0.002000
0.2480	72.59	8.61	-19.0	0.0	-4788.4	-565.6	-0.4844	-0.0618	0.00000	0.00074	0.043	0.002000
0.2500	73.74	8.77	-20.0	0.0	-4788.3	-567.4	-0.4856	-0.0580	0.00000	0.00078	0.045	0.002000
0.2520	74.91	8.94	-20.0	0.0	-4788.3	-569.1	-0.4958	-0.0632	0.00000	0.00078	0.045	0.002000
0.2540	76.07	9.11	-21.0	0.0	-4788.2	-570.9	-0.5063	-0.0687	0.00000	0.00082	0.047	0.002000
0.2560	77.24	9.28	-22.0	0.0	-4788.1	-572.6	-0.5168	-0.0651	0.00000	0.00086	0.049	0.002000
0.2580	78.42	9.45	-23.0	0.0	-4788.0	-574.4	-0.5184	-0.0614	0.00000	0.00090	0.052	0.002000
0.2600	79.63	9.63	-23.0	0.0	-4787.9	-576.2	-0.5198	-0.0667	0.00000	0.00090	0.052	0.002000
0.2620	80.83	9.81	-24.0	0.0	-4787.8	-577.9	-0.5302	-0.0722	0.00000	0.00094	0.054	0.002000
0.2640	82.03	9.98	-25.0	0.0	-4787.7	-579.7	-0.5409	-0.0687	0.00000	0.00098	0.056	0.002000
0.2660	83.24	10.17	-26.0	0.0	-4787.6	-581.4	-0.5516	-0.0650	0.00000	0.00102	0.058	0.002000
0.2680	84.48	10.35	-26.0	0.0	-4787.5	-583.2	-0.5535	-0.0703	0.00000	0.00102	0.058	0.002000
0.2700	85.72	10.53	-27.0	0.0	-4787.4	-585.0	-0.5550	-0.0758	0.00000	0.00106	0.061	0.002000
0.2720	86.95	10.72	-28.0	0.0	-4787.3	-586.7	-0.5657	-0.0724	0.00000	0.00110	0.063	0.002000
0.2740	88.20	10.91	-29.0	0.0	-4787.2	-588.5	-0.5766	-0.0687	0.00000	0.00114	0.065	0.002000
0.2760	89.46	11.10	-30.0	0.0	-4787.1	-590.2	-0.5874	-0.0741	0.00000	0.00118	0.067	0.002000
0.2780	90.72	11.29	-31.0	0.0	-4787.0	-592.0	-0.5894	-0.0796	0.00000	0.00121	0.070	0.002000
0.2800	91.99	11.49	-32.0	0.0	-4787.0	-593.8	-0.5912	-0.0763	0.00000	0.00125	0.072	0.002000
0.2820	93.29	11.68	-32.0	0.0	-4786.9	-595.5	-0.6021	-0.0726	0.00000	0.00125	0.072	0.002000
0.2840	94.56	11.88	-34.0	0.0	-4786.8	-597.3	-0.6132	-0.0780	0.00000	0.00133	0.076	0.002000
0.2860	95.88	12.08	-34.0	0.0	-4786.7	-599.0	-0.6244	-0.0836	0.00000	0.00133	0.076	0.002000
0.2880	97.18	12.29	-35.0	0.0	-4786.6	-600.8	-0.6266	-0.0893	0.00000	0.00137	0.079	0.002000
0.2900	98.49	12.49	-36.0	0.0	-4786.5	-602.6	-0.6286	-0.0859	0.00000	0.00141	0.081	0.002000
0.2920	99.82	12.70	-37.0	0.0	-4786.4	-604.3	-0.6396	-0.0823	0.00000	0.00145	0.083	0.002000
0.2940	101.14	12.91	-38.0	0.0	-4786.2	-606.1	-0.6509	-0.0878	0.00000	0.00149	0.085	0.002000
0.2960	102.48	13.12	-39.0	0.0	-4786.1	-607.8	-0.6533	-0.0935	0.00000	0.00153	0.088	0.002000
0.2980	103.83	13.34	-40.0	0.0	-4786.0	-609.6	-0.6554	-0.0901	0.00000	0.00157	0.090	0.002000
0.3000	105.18	13.55	-41.0	0.0	-4785.9	-611.4	-0.6666	-0.0866	0.00000	0.00161	0.092	0.002000
0.3020	106.54	13.77	-42.0	0.0	-4785.8	-613.1	-0.6780	-0.0921	0.00000	0.00165	0.094	0.002000
0.3040	107.91	13.99	-43.0	0.0	-4785.7	-614.9	-0.6896	-0.0978	0.00000	0.00168	0.096	0.002000
0.3060	109.29	14.21	-44.0	0.0	-4785.6	-616.6	-0.6921	-0.0945	0.00000	0.00172	0.099	0.002000
0.3080	110.67	14.44	-45.0	0.0	-4785.5	-618.4	-0.6945	-0.0911	0.00000	0.00176	0.101	0.002000
0.3100	112.04	14.66	-47.0	0.0	-4785.4	-620.2	-0.7057	-0.0966	0.00000	0.00184	0.105	0.002000
0.3120	113.44	14.89	-48.0	0.0	-4785.3	-621.9	-0.7174	-0.1024	0.00000	0.00188	0.108	0.002000
0.3140	114.85	15.12	-49.0	0.0	-4785.2	-623.7	-0.7291	-0.0991	0.00000	0.00192	0.110	0.002000
0.3160	116.27	15.36	-50.0	0.0	-4785.1	-625.4	-0.7318	-0.0957	0.00000	0.00196	0.112	0.002000
0.3180	117.69	15.59	-51.0	0.0	-4785.0	-627.2	-0.7344	-0.1013	0.00000	0.00200	0.114	0.002000
0.3200	119.12	15.83	-52.0	0.0	-4784.9	-629.0	-0.7460	-0.1071	0.00000	0.00204	0.117	0.002000
0.3220	120.54	16.07	-54.0	0.0	-4784.7	-630.7	-0.7577	-0.1128	0.00000	0.00211	0.121	0.002000
0.3240	121.98	16.31	-55.0	0.0	-4784.6	-632.5	-0.7696	-0.1097	0.00000	0.00215	0.123	0.002000
0.3260	123.44	16.56	-56.0	0.0	-4784.5	-634.2	-0.7726	-0.1063	0.00000	0.00219	0.126	0.002000
0.3280	124.90	16.80	-57.0	0.0	-4784.4	-636.0	-0.7753	-0.1119	0.00000	0.00223	0.128	0.002000
0.3300	126.37	17.05	-58.0	0.0	-4784.3	-637.8	-0.7871	-0.1178	0.00000	0.00227	0.130	0.002000
0.3320	127.82	17.30	-60.0	0.0	-4784.2	-639.5	-0.7990	-0.1147	0.00000	0.00235	0.135	0.002000
0.3340	129.31	17.56	-61.0	0.0	-4784.1	-641.3	-0.8111	-0.1114	0.00000	0.00239	0.137	0.002000
0.3360	130.78	17.81	-63.0	0.0	-4783.9	-643.0	-0.8142	-0.1170	0.00000	0.00247	0.141	0.002000
0.3380	132.28	18.07	-64.0	0.0	-4783.8	-644.8	-0.8171	-0.1230	0.00000	0.00251	0.144	0.002000
0.3400	133.79	18.33	-65.0	0.0	-4783.7	-646.6	-0.8291	-0.1199	0.00000	0.00254	0.146	0.002000
0.3420	135.27	18.59	-67.0	0.0	-4783.6	-648.3	-0.8412	-0.1166	0.00000	0.00262	0.150	0.002000
0.3440	136.80	18.86	-68.0	0.0	-4783.5	-650.1	-0.8534	-0.1223	0.00000	0.00266	0.153	0.002000
0.3460	138.33	19.13	-69.0	0.0	-4783.3	-651.8	-0.8568	-0.1283	0.00000	0.00270	0.155	0.002000
0.3480	139.84	19.40	-71.0	0.0	-4783.2	-653.6	-0.8598	-0.1252	0.00000	0.00278	0.159	0.002000
0.3500	141.38	19.67	-72.0	0.0	-4783.1	-655.4	-0.8719	-0.1220	0.00000	0.00282	0.161	0.002000
0.3520	142.91	19.94	-74.0	0.0	-4783.0	-657.1	-0.8842	-0.1278	0.00000	0.00290	0.166	0.002000
0.3540	144.47	20.22	-75.0	0.0	-4782.9	-658.9	-0.8967	-0.1338	0.00000	0.00294	0.168	0.002000
0.3560	146.00	20.50	-77.0	0.0	-4782.7	-660.6	-0.9001	-0.1308	0.00000	0.00301	0.173	0.002000
0.3580	147.58	20.78	-78.0	0.0	-4782.6	-662.4	-0.9034	-0.1276	0.00000	0.00305	0.175	0.002000
0.3600	149.13	21.06	-80.0	0.0	-4782.5	-664.1	-0.9066	-0.1334	0.00000	0.00313	0.179	0.002000
0.3620	150.69	21.35	-82.0	0.0	-4782.4	-665.9	-0.9188	-0.1394	0.00000	0.00321	0.184	0.002000
0.3640	152.28	21.64	-83.0	0.0	-4782.2	-667.7	-0.9314	-0.1455	0.00000	0.00325	0.186	0.002000
0.3660	153.85	21.93	-85.0	0.0	-4782.1	-669.4	-0.9440	-0.1426	0.00000	0.00333	0.191	0.002000
0.3680	155.43	22.22	-87.0	0.0	-4782.0	-671.2	-0.9476	-0.1394	0.00001	0.00340	0.195	0.002000
0.3700	157.05	22.52	-88.0	0.0	-4781.8	-672.9	-0.9601	-0.1453	0.00001	0.00344	0.197	0.002000
0.3720	158.64	22.81	-90.0	0.0	-4781.7	-674.7	-0.9638	-0.1514	0.00001	0.00352	0.202	0.002000
0.3740	160.24	23.11	-92.0	0.0	-4781.6	-676.5	-0.9672	-0.1486	0.00001	0.00360	0.206	0.002000
0.3760	161.85	23.42	-94.0	0.0	-4781.5	-678.2	-0.9797	-0.1455	0.00001	0.00368	0.211	0.002000
0.3780	163.46	23.72	-96.0	0.0	-4781.3	-680.0	-0.9924	-0.1514	0.00001	0.00376	0.215	0.002000
0.3800	165.08	24.03	-98.0	0.0	-4781.2	-681.7	-1.0000	-0.1576	0.00001	0.00383	0.220	0.002000
0.3820	166.70	24.34	-100.0	0.0	-4781.1	-683.5	-1.0000	-0.1547	0.00001	0.00391	0.224	0.002000
0.3840	168.37	24.65	-101.0	0.0	-4780.9	-685.2	-1.0000	-0.1517	0.00001	0.00395	0.226	0.002000
0.3860	170.01	24.97	-103.0	0.0	-4780.8	-687.0	-1.0000	-0.1577	0.00001	0.00403	0.231	0.002000
0.3880	171.65	25.29	-105.0	0.0	-4780.6	-688.8	-1.0000	-0.1639	0.00001	0.00411	0.235	0.002000
0.3900	173.30	25.61	-107.0	0.0	-4780.5	-690.5	-1.0000	-0.1611	0.00001	0.00419	0.240	0.002000
0.3920	174.96	25.93	-109.0	0.0	-4780.4	-692.3	-1.0000	-0.1581	0.00001	0.00426	0.244	0.002000
0.3940	176.62	26.25	-111.0	0.0	-4780.2	-694.0	-1.0000	-0.1641	0.00001	0.00434	0.249	0.002000
0.3960	178.29	26.58	-113.0	0.0	-4780.1	-695.8	-1.0000	-0.1704	0.00001	0.00442	0.253	0.002000
0.3980	179.97	26.91	-115.0	0.0	-4780.0	-697.6	-1.0000	-0.1766	0.00001	0.00450	0.258	0.002000
0.4000	181.65	27.24	-117.0	0.0	-4779.8	-699.3	-1.0000	-0.1739	0.00001	0.00458	0.262	0.002000
0.4020	183.34	27.58	-119.0	0.0	-4779.7	-701.1	-1.0000	-0.1710	0.00001	0.00465	0.267	0.002000
0.4040	185.07	27.92	-120.0	0.0	-4779.5	-702.8	-1.0000	-0.1771	0.00001	0.00469	0.269	0.002000
0.4060	186.73	28.26	-123.0	0.0	-4779.4	-704.6	-1.0000	-0.1834	0.00001	0.00481	0.276	0.002000
0.4080	188.44	28.60	-125.0	0.0	-4779.3	-706.3	-1.0000	-0.1808	0.00001	0.00489	0.280	0.002000
0.4100	190.16	28.90	-127.0	-1.0	-4779.1	-708.1	-1.0000	-0.1777	-0.00003	0.00497	0.285	0.002000
0.4120	191.88	29.25	-129.0	-1.0	-4779.0	-709.9	-1.0000	-0.1838	-0.00003	0.00504	0.289	0.002000
0.4140	193.60	29.60	-131.0	-1.0	-4778.8	-711.6	-1.0000	-0.1902	-0.00003	0.00512	0.294	0.002000
0.4160	195.33	29.95	-133.0	-1.0	-4778.7	-713.4	-1.0000	-0.1876	-0.00003	0.00520	0.298	0.002000
0.4180	197.07	30.31	-135.0	-1.0	-4778.5	-715.1	-1.0000	-0.1848	-0.00003	0.00528	0.302	0.002000
0.4200	198.81	30.66	-137.0	-1.0	-4778.4	-716.9	-1.0000	-0.1910	-0.00003	0.00536	0.307	0.002000
0.4220	200.56	31.03	-139.0	-1.0	-4778.2	-718.6	-1.0000	-0.1974	-0.00003	0.00544	0.311	0.002000
0.4240	202.32	31.39	-141.0	-1.0	-4778.1	-720.4	-1.0000	-0.1948	-0.00003	0.00551	0.316	0.002000
0.4260	204.08	31.75	-143.0	-1.0	-4777.9	-722.2	-1.0000	-0.1920	-0.00003	0.00559	0.320	0.002000
0.4280	205.85	32.12	-145.0	-1.0	-4777.8	-723.9	-1.0000	-0.1983	-0.00002	0.00567	0.325	0.002000
